"","ID","ABUNDANCE","RICHNESS","SLA","LEAF_AREA","PLOT"
"1",1,78,36,192.949472619141,47.3355555555556,"R"
"2",2,73,28,197.179407126559,45.6189655172414,"R"
"3",3,19,6,243.5971223022,67.72,"R"
"4",4,123,37,182.478473065444,54.1933333333333,"R"
"5",5,80,33,148.205999014846,62.2915384615385,"R"
"6",6,99,31,157.416420774979,58.1746511627907,"R"
"7",8,88,26,207.091163071614,59.2997222222222,"R"
"8",9,30,14,143.606174878938,53.1007692307692,"R"
"9",10,16,13,228.172013740367,47.5666666666667,"R"
"10",11,78,29,176.358114995305,53.078,"R"
"11",12,99,31,161.196303153752,46.432380952381,"R"
"12",13,127,43,193.712996846761,63.9213636363636,"R"
"13",14,63,28,160.619567029492,55.6915384615385,"R"
"14",15,59,26,184.952810036033,46.9790476190476,"R"
"15",16,128,30,217.957413053096,58.7178260869565,"R"
"16",17,97,28,159.789972239497,55.1807692307692,"R"
"17",18,75,30,212.648340437705,68.6336363636364,"R"
"18",27,75,33,207.28924081891,59.0985,"R"
"19",1,17,12,199.067644315088,46.5175,"N"
"20",2,8,6,157.5135135135,29.14,"N"
"21",3,0,0,NA,NA,"N"
"22",4,38,20,211.339133500277,77.4807692307692,"N"
"23",5,1,1,NA,NA,"N"
"24",6,13,9,160.759289832067,52.6066666666667,"N"
"25",8,3,3,110.2482269504,62.18,"N"
"26",9,0,0,NA,NA,"N"
"27",10,0,0,NA,NA,"N"
"28",11,1,1,189.7530864198,15.37,"N"
"29",12,7,7,163.68153307265,135.325,"N"
"30",13,11,6,155.77795962905,45.1825,"N"
"31",14,7,4,136.91800602076,63.288,"N"
"32",15,7,6,152.488030888,40.035,"N"
"33",16,20,16,193.238408517412,44.81,"N"
"34",17,10,7,176.5143853531,41.5933333333333,"N"
"35",18,1,1,136.9189189189,50.66,"N"
"36",27,17,13,180.151304976725,79.39375,"N"
